---,StarNameFString,CatalogFString,StarNumberInt,RightAscenstion,Declination,ProperMotionInRightAscension,ProperMotionInDeclination,Parallax,RadialVelocity,OptionalVisualMagnitude
HR4050,,BSC,0,154.2708,-61.3322,-0.024,0.005,0.027,8,3.4
HR8634,42Zet Peg,BSC,0,340.3654,10.8314,0.08,-0.013,0.023,7,3.4
HR1412,78The2Tau,BSC,0,67.1654,15.8708,0.103,-0.025,0.029,40,3.4
HR5649,Zet Lup,BSC,0,228.0712,-52.0992,-0.112,-0.073,0.043,-10,3.41
HR429,Gam Phe,BSC,0,22.0912,-43.3183,-0.014,-0.209,0,26,3.41
HR5190,Nu  Cen,BSC,0,207.3763,-41.6878,-0.022,-0.021,,9,3.41
HR5948,Eta Lup,BSC,0,240.0304,-38.3969,-0.022,-0.032,0.008,8,3.41
HR544,2Alp Tri,BSC,0,28.2704,29.5789,0.011,-0.235,0.057,-13,3.41
HR7913,Bet Pav,BSC,0,311.2396,-66.2031,-0.046,0.012,0.035,10,3.42
HR6623,86Mu  Her,BSC,0,266.6146,27.7206,-0.311,-0.751,0.108,-16,3.42
HR7957,3Eta Cep,BSC,0,311.3225,61.8389,0.087,0.818,0.071,-87,3.43
HR3659,,BSC,0,137.7417,-58.9669,-0.026,0.008,,23,3.44
HR7236,16Lam Aql,BSC,0,286.5621,-4.8825,-0.017,-0.09,0.032,-12,3.44
HR4031,36Zet Leo,BSC,0,154.1725,23.4172,0.018,-0.007,0.017,-16,3.44
HR219,24Eta Cas,BSC,0,12.275,57.8158,1.1,-0.529,0.176,9,3.44
HR334,31Eta Cet,BSC,0,17.1475,-10.1822,0.218,-0.138,0.041,12,3.45
HR7106,10Bet Lyr,BSC,0,282.52,33.3628,0.003,-0.003,-0.002,-19,3.45
HR4033,33Lam UMa,BSC,0,154.2742,42.9144,-0.164,-0.038,0.03,18,3.45
HR3117,Chi Car,BSC,0,119.1946,-52.9822,-0.029,0.021,0.004,19,3.47
HR2646,22Sig CMa,BSC,0,105.4296,-27.9347,-0.005,0.005,0.024,22,3.47
HR804,86Gam Cet,BSC,0,40.825,3.2358,-0.142,-0.152,0.052,-5,3.47
HR1239,35Lam Tau,BSC,0,60.17,12.4903,-0.006,-0.012,0.002,18,3.47
HR7635,12Gam Sge,BSC,0,299.6892,19.4922,0.066,0.024,0.013,-33,3.47
